avgRSSI,avgVar,advCount,uniqueDevices,rotationEvents,spamEvents,impersonationEvents,appleMfgEvents,tileMfgEvents,samsungMfgEvents,appleSubtypeAnomalyEvents,microsoftSubtypeAnomalyEvents,samsungSubtypeAnomalyEvents,appleNameEvents,windowsNameEvents,samsungNameEvents,androidNameEvents,ninebotNameEvents,highRateEvents,veryHighRateEvents,highVarianceEvents,floodingEvents,lowVarCloseEvents,longPresenceEvents,veryCloseEvents,closeEvents,spoofingEvents,serviceUUIDAnomalyEvents,manuFloodEvents,payloadSpamEvents,evilTwinEvents,samsungSpamEvents,appleSourEvents,appleJuiceEvents,flipperEvents,swiftPairEvents,googleFastPairEvents,samsungTelemetryEvents,label
-68.09617269752869,0.9499502955012712,1556,3,0,0,0,0,0,0,0,0,0,3,1,0,2,2,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-74.08644720492552,0.32619880876724416,1611,10,0,0,0,2,0,3,0,0,0,0,2,1,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-52.53301786686924,0.5375230897417288,1214,8,0,0,0,0,0,0,0,0,0,2,3,1,3,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-69.58404033067839,0.8640176674509836,1130,6,0,0,0,4,3,1,0,0,0,3,1,2,0,2,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-44.98008000984273,0.7226455460794559,1511,9,0,0,0,3,3,2,0,0,0,0,3,2,2,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-63.49133036515834,0.2982853583379027,1432,7,0,0,0,4,1,1,0,0,0,3,3,3,3,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-89.37097364727988,0.6788703502218283,2801,4,0,0,0,3,3,2,0,0,0,0,2,3,2,2,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-41.741838489211936,0.7098473106652832,521,11,0,0,0,1,2,3,0,0,0,3,3,1,1,1,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-65.12892362524016,0.2380220645944738,2943,9,0,0,0,5,0,1,0,0,0,3,1,0,2,2,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-72.4892967398651,0.9230098689439357,1111,4,0,0,0,5,3,2,0,0,0,2,3,1,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-62.054322842853914,0.37481531300746673,1680,15,0,0,0,5,2,0,0,0,0,0,0,1,3,2,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-70.7664741699365,0.8860758488762336,1984,10,0,0,0,2,3,0,0,0,0,3,1,0,0,1,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-42.522819633511446,0.7629993915087414,2933,14,0,0,0,1,3,2,0,0,0,3,2,3,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-82.25278930307121,0.7881989183949863,500,5,0,0,0,3,1,3,0,0,0,2,1,2,2,2,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-70.69655940507388,0.782688556412323,2300,5,0,0,0,5,0,1,0,0,0,0,1,1,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-88.02187738144198,0.44519672657316245,2803,4,0,0,0,0,2,1,0,0,0,3,3,1,1,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-53.612054439404154,0.171813723767105,1197,11,0,0,0,0,0,3,0,0,0,3,1,2,2,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-83.37902829144674,0.5481210961926731,2706,13,0,0,0,1,1,1,0,0,0,3,2,2,2,2,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-40.89633903803287,0.15421616344112632,1988,7,0,0,0,5,1,1,0,0,0,3,2,1,1,2,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-80.24500747293385,0.642602929236952,853,7,0,0,0,4,1,1,0,0,0,2,0,0,0,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-52.95084514232725,0.22211671532032243,2568,13,0,0,0,0,1,2,0,0,0,3,1,2,2,2,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-78.37926638778812,0.7529968842527452,2515,10,0,0,0,0,2,3,0,0,0,2,0,3,0,1,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-86.30836587118172,0.26257515742026993,1200,5,0,0,0,2,3,0,0,0,0,3,3,3,0,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-85.28312428735704,0.8689309572651046,2658,3,0,0,0,2,0,2,0,0,0,1,2,2,1,1,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-41.515900935118005,0.6385309545073885,1092,10,0,0,0,1,1,2,0,0,0,1,1,0,2,1,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-41.96433890287122,0.2744325694607695,1811,6,0,0,0,5,2,2,0,0,0,1,0,0,2,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-85.92674323346715,0.9126648246788815,1470,6,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-87.06781108320055,0.5560381347673727,2058,15,0,0,0,0,2,3,0,0,0,3,3,1,2,2,0,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-74.7155752926851,0.6610013968330644,1028,4,0,0,0,3,3,2,0,0,0,0,0,3,2,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-80.89931202207543,0.8409507466727703,2498,8,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-41.14734200487451,0.5827467147984479,857,8,0,0,0,1,3,2,0,0,0,3,1,1,0,2,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-80.00378062850176,0.38973628799249105,1588,9,0,0,0,5,1,3,0,0,0,0,2,3,1,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-51.442811031800474,0.26852883515803977,1548,8,0,0,0,2,2,0,0,0,0,1,0,3,3,2,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-74.98754391389981,0.3155598713545792,578,10,0,0,0,0,3,0,0,0,0,1,3,3,3,1,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-53.14867371856707,0.5352505655562905,2501,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-46.75319950271299,0.3420562122883738,660,3,0,0,0,0,0,2,0,0,0,3,1,0,1,2,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-43.81213470555679,0.6329459011859792,1822,4,0,0,0,4,2,2,0,0,0,3,0,1,3,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-65.26057998840365,0.22001329109423617,2349,14,0,0,0,0,1,1,0,0,0,1,2,1,0,2,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-84.30998122230899,0.5403587673766542,1195,14,0,0,0,1,3,1,0,0,0,1,0,0,3,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-42.93581584499769,0.5709820012166005,1643,14,0,0,0,5,2,0,0,0,0,3,0,2,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-67.62193737218621,0.4971496944501296,682,14,0,0,0,0,3,0,0,0,0,2,2,2,1,1,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-49.860308101564875,0.4056619714184069,1955,14,0,0,0,4,2,3,0,0,0,3,2,2,2,2,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-63.61459514960633,0.26067465882471114,1570,13,0,0,0,0,0,3,0,0,0,2,0,2,3,2,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-57.54324516146214,0.47565327455455764,2013,5,0,0,0,4,3,0,0,0,0,0,2,3,2,2,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-86.06426632536039,0.2605907436369459,2530,13,0,0,0,3,0,1,0,0,0,2,3,1,1,2,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-81.63662416929742,0.1586579870202723,1822,10,0,0,0,4,2,1,0,0,0,2,2,3,3,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-85.9607725971137,0.9209046015160125,2726,9,0,0,0,2,1,2,0,0,0,0,0,2,3,2,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-84.23003211532136,0.3774346234719633,1695,13,0,0,0,3,2,3,0,0,0,0,3,1,1,1,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-56.427590796422905,0.11798190244919507,524,12,0,0,0,1,0,1,0,0,0,2,0,2,1,2,0,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-53.975449478970546,0.20913775291348272,1434,6,0,0,0,3,1,0,0,0,0,3,2,0,2,2,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-48.10731801826876,0.6285678142715843,1502,15,0,0,0,2,1,1,0,0,0,2,1,1,2,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-69.5767227403326,0.5670792395057397,1816,12,0,0,0,2,1,0,0,0,0,3,2,1,2,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-69.33802599819484,0.9681092378402499,1642,12,0,0,0,0,3,2,0,0,0,2,2,1,3,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-44.41727538437024,0.28330031225166014,2064,12,0,0,0,2,1,3,0,0,0,3,3,2,0,2,0,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-67.53712845622064,0.849026374672807,2801,14,0,0,0,3,1,3,0,0,0,1,1,2,3,2,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-72.49327758921702,0.4861875794905437,1494,7,0,0,0,5,1,0,0,0,0,2,0,2,0,2,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-60.463258232384284,0.44669305861679964,867,4,0,0,0,5,3,0,0,0,0,2,3,1,3,2,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-48.77311399242718,0.625042931040572,1553,8,0,0,0,4,3,0,0,0,0,2,1,3,2,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-88.16195403737413,0.17872539471899065,1995,3,0,0,0,2,1,3,0,0,0,1,3,3,3,2,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-54.15425570559778,0.6293809979577099,2920,12,0,0,0,2,1,2,0,0,0,2,0,0,1,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-50.438960949740675,0.2148917472440408,2677,4,0,0,0,4,2,2,0,0,0,0,1,0,2,2,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-54.90273247341898,0.13038177243561166,2228,7,0,0,0,0,1,0,0,0,0,2,0,3,2,2,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-67.29553347853694,0.5082805740862719,1744,5,0,0,0,2,3,1,0,0,0,1,0,0,1,1,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-68.95297967383671,0.994706247370382,2704,8,0,0,0,5,3,1,0,0,0,0,2,2,0,2,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-71.13540127038492,0.407634694308903,2740,9,0,0,0,1,3,1,0,0,0,3,0,0,0,1,0,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-81.16303301346883,0.3751811132620284,593,8,0,0,0,5,2,2,0,0,0,2,2,3,1,1,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-58.545712651212014,0.13358111530663522,1012,11,0,0,0,0,1,3,0,0,0,2,2,2,1,0,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-64.85040078650887,0.7909645900140373,742,5,0,0,0,0,2,1,0,0,0,1,0,1,1,2,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-66.62282872247138,0.6313260040228601,656,11,0,0,0,1,0,0,0,0,0,2,0,3,0,2,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-82.33000947450064,0.7367101076584976,2130,11,0,0,0,2,0,2,0,0,0,1,0,0,2,2,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-54.437008435201136,0.5172862631386465,528,11,0,0,0,3,3,3,0,0,0,3,1,2,1,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-83.90278147979743,0.8410364530687691,1725,7,0,0,0,2,3,2,0,0,0,2,2,0,2,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-56.64904611784736,0.7775069709003424,746,7,0,0,0,5,2,0,0,0,0,2,2,1,1,2,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-62.70203723712736,0.7728682047342492,2700,5,0,0,0,2,0,3,0,0,0,1,3,2,0,1,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-72.68972646081667,0.7287216825138365,2767,7,0,0,0,3,0,3,0,0,0,0,1,0,3,2,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-87.38352050658717,0.28645844803085185,641,4,0,0,0,5,3,0,0,0,0,0,1,0,2,2,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-73.92551127648458,0.9360625625766188,1524,15,0,0,0,0,0,3,0,0,0,3,1,0,2,2,0,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-50.9718755735832,0.9430572655754367,2534,8,0,0,0,4,1,2,0,0,0,2,3,1,0,2,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-87.67190894972887,0.11427716398322571,934,8,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-60.220160780536624,0.2640447761304361,1955,15,0,0,0,2,0,1,0,0,0,3,0,0,3,1,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-80.93715769653777,0.6184900823992778,2933,11,0,0,0,5,2,3,0,0,0,0,3,1,3,1,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-76.54904436594208,0.18946314580901882,2297,7,0,0,0,4,3,0,0,0,0,1,2,1,3,1,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-87.60463524474528,0.5843319324952919,1774,11,0,0,0,2,3,3,0,0,0,2,2,1,1,1,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-73.57032870825134,0.7937140439343598,2948,9,0,0,0,3,0,1,0,0,0,3,0,2,1,1,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-52.22775361311678,0.5507529419431477,2324,11,0,0,0,3,1,0,0,0,0,0,3,3,1,0,0,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-60.64556980297897,0.7013870637873812,665,14,0,0,0,2,1,2,0,0,0,0,1,2,1,1,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-87.93939806323984,0.36678130723736024,2139,10,0,0,0,3,3,0,0,0,0,0,2,1,1,1,0,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-78.04473127476751,0.81139009369198,2397,3,0,0,0,4,0,1,0,0,0,2,0,0,1,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-66.53337304705458,0.23566816139120242,1596,5,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-65.12613436057863,0.9315084705340354,948,14,0,0,0,2,0,1,0,0,0,3,0,3,1,2,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-77.85617830242606,0.9044703304188625,2696,9,0,0,0,0,0,3,0,0,0,1,3,2,1,2,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-41.75378876810125,0.6823649346657978,949,7,0,0,0,2,0,2,0,0,0,3,3,1,1,2,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-71.4519588943016,0.42741389497726423,2825,10,0,0,0,2,3,0,0,0,0,1,2,3,2,1,0,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-74.5282230554423,0.27769188304826375,2649,13,0,0,0,0,3,2,0,0,0,3,0,2,0,1,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
