avgRSSI,avgVar,advCount,uniqueDevices,rotationEvents,spamEvents,impersonationEvents,appleMfgEvents,tileMfgEvents,samsungMfgEvents,appleSubtypeAnomalyEvents,microsoftSubtypeAnomalyEvents,samsungSubtypeAnomalyEvents,appleNameEvents,windowsNameEvents,samsungNameEvents,androidNameEvents,ninebotNameEvents,highRateEvents,veryHighRateEvents,highVarianceEvents,floodingEvents,lowVarCloseEvents,longPresenceEvents,veryCloseEvents,closeEvents,spoofingEvents,serviceUUIDAnomalyEvents,manuFloodEvents,payloadSpamEvents,evilTwinEvents,samsungSpamEvents,appleSourEvents,appleJuiceEvents,flipperEvents,swiftPairEvents,googleFastPairEvents,samsungTelemetryEvents,label
-73.51277713490154,0.12028672352835613,39,13,18,0,0,2,3,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2
-62.49166438719126,0.9727074479009591,37,6,7,0,0,1,1,3,0,0,0,3,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
-55.04271343995553,0.8803218580424511,24,11,17,0,0,3,2,2,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
-50.0114757370379,0.29018737413923096,77,13,13,0,0,0,1,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2
-58.108273913120385,0.9770158921456716,75,14,14,0,0,0,2,1,0,0,0,1,3,3,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2
-71.98787979519741,0.35541014136855364,76,5,17,0,0,2,3,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
-52.76298926482521,0.6888064057985064,76,5,10,0,0,0,1,3,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
-81.1818773193185,0.4741708248516464,56,4,16,0,0,0,2,2,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
-81.79951675849495,0.3678081286927579,26,8,11,0,0,1,0,3,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
-52.069696757676454,0.8493624400583212,57,12,14,0,0,5,2,1,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
