avgRSSI,avgVar,advCount,uniqueDevices,rotationEvents,spamEvents,impersonationEvents,appleMfgEvents,tileMfgEvents,samsungMfgEvents,appleSubtypeAnomalyEvents,microsoftSubtypeAnomalyEvents,samsungSubtypeAnomalyEvents,appleNameEvents,windowsNameEvents,samsungNameEvents,androidNameEvents,ninebotNameEvents,highRateEvents,veryHighRateEvents,highVarianceEvents,floodingEvents,lowVarCloseEvents,longPresenceEvents,veryCloseEvents,closeEvents,spoofingEvents,serviceUUIDAnomalyEvents,manuFloodEvents,payloadSpamEvents,evilTwinEvents,samsungSpamEvents,appleSourEvents,appleJuiceEvents,flipperEvents,swiftPairEvents,googleFastPairEvents,samsungTelemetryEvents,label
-70.72349127670725,0.8393451621128499,72,6,0,0,19,4,3,0,0,0,0,2,1,2,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3
-41.730336993258504,0.4445893269285691,55,6,0,0,15,5,3,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
-88.86763210144787,0.3839894589587016,50,6,0,0,19,4,0,1,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3
-80.66344690337522,0.6527449647035729,21,11,0,0,19,5,0,3,0,0,0,1,2,3,2,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3
-77.85516674657002,0.7261169041826305,21,3,0,0,9,4,0,1,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3
-67.86654591748213,0.9650607565794963,20,15,0,0,6,3,3,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
-82.63071295120994,0.9526570676132391,39,7,0,0,8,1,2,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3
-69.57776532537714,0.9880755020077221,75,13,0,0,14,0,0,1,0,0,0,2,3,0,1,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3
-79.12337528907678,0.9702676169950388,76,12,0,0,16,1,1,3,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3
-89.57442518392163,0.35202733033814115,53,9,0,0,19,4,0,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3
-47.418505948216804,0.7485944542598756,30,7,0,0,12,5,3,3,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3
-58.69880826583807,0.3732393379733713,64,11,0,0,18,5,2,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3
-46.33748337326651,0.5927846807652285,21,6,0,0,12,5,3,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
-74.96117471547674,0.24437203801232726,79,6,0,0,6,4,0,2,0,0,0,2,1,3,3,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3
-88.75363043569301,0.8576767901335143,40,13,0,0,17,1,2,3,0,0,0,3,0,3,3,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3
-44.040404884123326,0.7771145740104942,36,14,0,0,18,1,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
-67.93397862502955,0.21913885665667954,26,10,0,0,11,3,0,3,0,0,0,2,2,3,2,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3
-48.104328177682184,0.8498812900960726,24,15,0,0,13,5,2,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3
-53.99161812495586,0.2538299387465512,25,9,0,0,20,0,3,1,0,0,0,1,2,3,2,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3
