avgRSSI,avgVar,advCount,uniqueDevices,rotationEvents,spamEvents,impersonationEvents,appleMfgEvents,tileMfgEvents,samsungMfgEvents,appleSubtypeAnomalyEvents,microsoftSubtypeAnomalyEvents,samsungSubtypeAnomalyEvents,appleNameEvents,windowsNameEvents,samsungNameEvents,androidNameEvents,ninebotNameEvents,highRateEvents,veryHighRateEvents,highVarianceEvents,floodingEvents,lowVarCloseEvents,longPresenceEvents,veryCloseEvents,closeEvents,spoofingEvents,serviceUUIDAnomalyEvents,manuFloodEvents,payloadSpamEvents,evilTwinEvents,samsungSpamEvents,appleSourEvents,appleJuiceEvents,flipperEvents,swiftPairEvents,googleFastPairEvents,samsungTelemetryEvents,label
-47.02991814931011,0.45460361757037604,30,10,49,0,0,0,3,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-74.40491746077635,0.6582787739056719,78,4,18,0,0,5,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-87.34075619005581,0.47917016392353307,51,10,11,0,0,4,3,2,0,0,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-51.99005532496538,0.7413183880033697,58,14,11,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-55.43352665229617,0.42493772717968703,58,14,15,0,0,2,1,3,0,0,0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-83.79330193852938,0.5625823374835666,22,3,22,0,0,0,3,2,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-59.41434522084231,0.9718564467887436,27,7,35,0,0,2,2,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-78.44675127028366,0.22041041653811977,34,8,40,0,0,4,1,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-69.40019806856893,0.5423120671904481,66,11,23,0,0,0,0,1,0,0,0,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-50.73835030526208,0.37288464879309347,70,4,45,0,0,5,0,0,0,0,0,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-89.65329301472805,0.9899142129764942,49,7,19,0,0,0,0,3,0,0,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-87.88950348419564,0.7453696651231991,76,12,19,0,0,1,0,1,0,0,0,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-82.98587421796435,0.9418542564536146,74,14,48,0,0,3,2,3,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-87.5322238010228,0.8157747058357726,32,14,46,0,0,2,0,3,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-59.10459115515872,0.3162364292402925,29,13,20,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-69.65667073569101,0.32707893655164577,40,9,39,0,0,2,0,2,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-49.65915554837575,0.8937520663940272,53,4,30,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-60.26439965662209,0.7339940724011536,52,3,40,0,0,3,3,3,0,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
