avgRSSI,avgVar,advCount,uniqueDevices,rotationEvents,spamEvents,impersonationEvents,appleMfgEvents,tileMfgEvents,samsungMfgEvents,appleSubtypeAnomalyEvents,microsoftSubtypeAnomalyEvents,samsungSubtypeAnomalyEvents,appleNameEvents,windowsNameEvents,samsungNameEvents,androidNameEvents,ninebotNameEvents,highRateEvents,veryHighRateEvents,highVarianceEvents,floodingEvents,lowVarCloseEvents,longPresenceEvents,veryCloseEvents,closeEvents,spoofingEvents,serviceUUIDAnomalyEvents,manuFloodEvents,payloadSpamEvents,evilTwinEvents,samsungSpamEvents,appleSourEvents,appleJuiceEvents,flipperEvents,swiftPairEvents,googleFastPairEvents,samsungTelemetryEvents,label
-70.49348619769312,0.10382471664581637,305,3,0,13,0,5,2,0,0,0,0,1,1,3,3,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-41.83700179891454,0.8844774174165513,1353,3,0,14,0,1,1,2,0,0,0,2,3,1,1,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-43.52375455462001,0.7443599418678511,1108,9,0,7,0,2,3,3,0,0,0,0,3,2,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-88.5647588802769,0.6415571643224496,1402,5,0,14,0,2,1,2,0,0,0,2,3,0,0,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-67.02978341039743,0.9692471553127322,1809,7,0,15,0,2,0,0,0,0,0,1,1,0,3,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-89.75189955024416,0.17752705652330464,968,4,0,20,0,5,1,1,0,0,0,1,1,2,0,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-56.410668072838284,0.9643379280424315,1221,11,0,16,0,1,1,1,0,0,0,3,2,0,2,2,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-69.71705470225912,0.7566983476885994,707,10,0,15,0,1,2,3,0,0,0,2,1,3,2,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-71.8522175839539,0.7628440814367639,1979,10,0,5,0,4,1,0,0,0,0,1,0,3,3,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-41.02121334779227,0.4605972480698475,1501,5,0,19,0,2,2,1,0,0,0,1,3,0,1,2,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-63.72952747969239,0.4688982405424835,1634,10,0,18,0,0,1,2,0,0,0,0,0,3,0,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-77.62535975777857,0.9612748278386006,1042,3,0,19,0,5,0,0,0,0,0,0,1,0,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-82.02485515546635,0.9939020764016501,1400,5,0,9,0,3,0,0,0,0,0,3,3,1,1,1,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-40.29075319890867,0.7884575145799124,1463,8,0,7,0,1,1,3,0,0,0,1,0,2,1,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-86.21178524575676,0.11755923490361998,1907,14,0,5,0,4,1,0,0,0,0,2,3,3,1,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-47.04728071101775,0.7877080264920161,717,3,0,17,0,0,3,1,0,0,0,2,3,2,0,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-73.2967264360883,0.3878012355345437,709,11,0,5,0,1,3,0,0,0,0,0,1,0,0,2,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-86.89970050254985,0.7955385206176129,962,15,0,17,0,1,0,3,0,0,0,2,2,2,0,2,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-85.63560767816142,0.34946890120275315,615,9,0,15,0,5,2,1,0,0,0,3,3,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-41.6170505072252,0.1346268880409774,1286,10,0,10,0,4,0,1,0,0,0,3,0,2,2,2,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-63.67923791628148,0.3641251715209044,1837,9,0,10,0,3,0,0,0,0,0,1,0,2,1,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-43.04343144999897,0.16333988190297172,593,6,0,15,0,4,3,3,0,0,0,0,3,3,2,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-49.1979531637746,0.5581210075372715,1339,5,0,11,0,1,2,3,0,0,0,2,1,0,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-64.25973573915782,0.7727421604727629,1147,13,0,20,0,0,3,3,0,0,0,1,0,3,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-72.20823116694288,0.3184880978858835,435,14,0,20,0,5,2,0,0,0,0,2,3,1,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-72.10711319851927,0.3655490860099815,871,10,0,18,0,3,0,2,0,0,0,1,1,2,0,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-49.52547415808363,0.5703768075919043,1224,3,0,18,0,0,2,0,0,0,0,0,3,3,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-81.28999383563709,0.7100036772156806,387,8,0,11,0,1,3,3,0,0,0,0,3,2,1,1,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-83.08571418089431,0.5925610230404342,409,6,0,12,0,1,1,0,0,0,0,3,0,0,3,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-55.509948895905694,0.25626789567647523,633,13,0,5,0,4,2,0,0,0,0,3,0,2,1,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-62.48409619580656,0.8426160032790784,881,12,0,17,0,4,3,3,0,0,0,1,1,2,3,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-73.68603693988143,0.5781706955109804,1983,12,0,6,0,5,3,2,0,0,0,1,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-51.28642449593617,0.14350440820162044,959,13,0,10,0,2,2,3,0,0,0,3,1,3,1,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-82.23508320512855,0.4152358665857938,1938,12,0,14,0,0,2,2,0,0,0,1,0,3,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-64.93113261408247,0.1615471331036789,1411,13,0,18,0,4,1,1,0,0,0,0,0,0,0,2,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-88.89203717862978,0.8840818942916384,1368,5,0,10,0,0,0,0,0,0,0,0,0,0,3,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-88.73322964892701,0.7489169962672401,954,6,0,7,0,4,0,2,0,0,0,3,1,1,3,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-47.74994448491441,0.489946509989156,1255,9,0,13,0,4,3,3,0,0,0,2,0,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
