rssiMean,rssiVar,pktCount,beaconCount,probeCount,deauthCount,authCount,assocReqCount,assocRespCount,nullCount,uniqueDevices,uniqueAPs,uniqueClients,spoofEvents,bssidMismatchEvents,ssidImpersonationEvents,vendorIEAnomalyEvents,wpaIEAnomalyEvents,rsnAnomalyEvents,htCapabilitiesAnomalyEvents,wmmAnomalyEvents,beaconFloodEvents,probeFloodEvents,deauthFloodEvents,nullFloodEvents,authFloodEvents,assocFloodEvents,vendorSpecificSpamEvents,channelHopEvents,intervalAnomalyEvents,burstEvents,highRateEvents,veryHighRateEvents,longPresenceEvents,closeRangeEvents,veryCloseRangeEvents,label
-168.18531808711032,0.9122917840142254,677,160,210,147,7,8,8,120,55,10,32,0,0,0,0,0,0,0,0,7,3,15,8,0,0,1,0,0,0,3,3,0,0,0,2
-121.39602856663568,1.227779133909464,98,28,15,149,6,5,3,8,26,4,5,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,3
-105.70817624601598,0.5203150042454919,658,174,370,0,4,1,5,110,43,7,17,0,0,0,0,0,0,0,0,4,8,0,7,0,0,0,0,0,0,3,4,0,0,0,2
-131.33124132910027,0.9142746763425781,74,25,14,232,3,9,7,6,25,3,7,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,3
-116.19015492004618,0.7663371959376699,125,25,14,0,4,4,8,5,9,5,9,0,7,8,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-118.95466051601662,1.4309601948759825,74,28,11,291,10,5,2,4,22,4,10,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,1
-124.56307142893046,0.910659620466825,127,26,15,0,4,5,8,6,11,6,8,0,4,4,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-163.01733086849862,1.1384069483566561,480,280,308,0,9,9,7,93,46,16,14,0,6,4,4,4,5,0,0,3,6,0,9,0,0,2,0,0,0,7,1,0,0,0,2
-138.56278952425376,1.4924501521164122,117,22,10,241,8,5,7,8,18,6,9,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,2
-159.45852959418704,1.4167898330553372,54,22,15,224,10,7,2,8,17,5,9,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,3
-152.82005000767106,1.3448082029760107,79,33,16,0,6,5,4,7,19,7,17,0,3,6,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
-113.74581937635726,0.705607238529459,98,28,14,0,8,5,4,2,14,7,13,0,9,8,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-142.78661373307335,1.0592620242471007,996,172,240,115,7,9,6,146,57,12,12,0,0,0,0,0,0,0,0,7,6,12,12,0,0,1,0,0,0,5,2,0,0,0,1
-79.38688399982314,0.8679049074895621,409,205,404,0,7,3,3,92,29,9,19,0,0,0,0,0,0,0,0,6,3,0,5,0,0,4,0,0,0,2,3,0,0,0,3
-157.68691323582354,0.71802947580822,537,223,396,0,5,6,9,153,40,13,16,0,8,10,6,3,3,0,0,4,6,0,9,0,0,4,0,0,0,6,1,0,0,0,2
-159.37469429643622,0.9609111709209877,91,38,14,280,12,8,9,13,28,11,20,0,10,10,8,3,2,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,3
-186.47703647292144,1.0749463067729832,116,27,20,184,8,6,10,8,22,12,17,0,4,3,2,5,5,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,2
-228.09720484016526,1.0805173365571468,744,187,302,209,15,7,10,200,58,16,22,0,9,8,2,3,3,0,0,7,7,16,15,0,0,2,0,0,0,5,2,0,0,0,1
-178.39891079107846,1.582138502616841,504,191,314,246,8,8,7,86,33,16,18,0,0,0,0,0,0,0,0,9,9,19,12,0,0,2,0,0,0,4,3,0,0,0,1
-120.91895099581447,1.081804410058468,119,11,12,75,7,7,6,5,15,6,11,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,3
-177.52141483078339,1.4386145293380739,730,309,280,54,8,9,4,191,63,13,25,0,0,0,0,0,0,0,0,9,6,18,11,0,0,1,0,0,0,7,1,0,0,0,1
-171.8046041874473,1.4907584367741678,579,412,407,51,7,5,10,117,33,8,31,0,0,0,0,0,0,0,0,5,4,15,13,0,0,1,0,0,0,5,2,0,0,0,3
-168.1300351589651,0.6639956226741421,511,170,221,0,9,4,7,178,41,12,22,0,9,4,4,8,6,0,0,9,3,0,5,0,0,4,0,0,0,7,3,0,0,0,2
-165.15537929130826,0.9919894776788521,777,326,252,0,7,10,7,98,43,11,22,0,10,4,4,6,3,0,0,4,6,0,4,0,0,0,0,0,0,3,2,0,0,0,2
-167.82090708591943,1.159112332917628,619,306,350,58,4,7,10,56,52,8,22,0,0,0,0,0,0,0,0,8,5,7,5,0,0,2,0,0,0,7,2,0,0,0,1
-230.36736056968547,1.410534670921971,582,206,232,239,12,10,9,196,58,11,27,0,4,5,7,3,2,0,0,9,7,8,9,0,0,0,0,0,0,4,2,0,0,0,1
-110.64124839077324,0.14582559511622906,957,320,337,0,3,4,6,195,45,8,21,0,0,0,0,0,0,0,0,9,5,0,9,0,0,3,0,0,0,4,1,0,0,0,3
-123.24367796124223,0.5438046488998665,138,28,14,81,2,7,7,6,10,5,15,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,2
-133.347927220681,1.266677391596997,575,267,112,164,6,8,7,181,64,10,33,0,0,0,0,0,0,0,0,5,3,13,15,0,0,3,0,0,0,5,2,0,0,0,1
-143.4437414526763,0.8033182663785527,948,325,177,0,4,6,8,86,36,13,28,0,5,10,3,7,5,0,0,4,9,0,2,0,0,3,0,0,0,4,3,0,0,0,2
-175.4314632634906,1.4215710456083843,147,40,24,126,9,8,8,10,35,9,16,0,8,5,3,3,8,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,3
-120.58700341208734,1.6171216298235862,102,29,16,88,9,8,3,9,18,6,8,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,3
-150.77448072478143,1.5870383682081677,136,26,12,0,5,9,3,7,17,7,11,0,7,7,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
