rssiMean,rssiVar,pktCount,beaconCount,probeCount,deauthCount,authCount,assocReqCount,assocRespCount,nullCount,uniqueDevices,uniqueAPs,uniqueClients,spoofEvents,bssidMismatchEvents,ssidImpersonationEvents,vendorIEAnomalyEvents,wpaIEAnomalyEvents,rsnAnomalyEvents,htCapabilitiesAnomalyEvents,wmmAnomalyEvents,beaconFloodEvents,probeFloodEvents,deauthFloodEvents,nullFloodEvents,authFloodEvents,assocFloodEvents,vendorSpecificSpamEvents,channelHopEvents,intervalAnomalyEvents,burstEvents,highRateEvents,veryHighRateEvents,longPresenceEvents,closeRangeEvents,veryCloseRangeEvents,label
-58.4538332916413,0.5409766624025989,1719,1073,8,0,5,2,2,0,60,49,3,0,0,0,12,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-69.74976800134868,0.6673393262250521,924,1102,10,0,5,5,5,0,44,60,5,0,0,0,18,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-71.0568456994987,0.20321313891930717,1723,671,3,0,3,3,3,0,41,30,5,0,0,0,13,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-46.35502961528235,0.5924960431509905,1329,851,10,0,1,5,4,0,96,58,3,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-81.23676765229436,0.10539259723090409,1174,1481,9,0,1,4,1,5,71,37,3,0,0,0,8,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-77.59746602858993,0.9752129897136039,1471,1112,10,0,3,4,4,2,42,60,6,0,0,0,11,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-82.61959013437792,0.34262500943374885,1722,806,4,0,5,1,5,0,59,47,6,0,0,0,18,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-56.33270615797467,0.13098320685768672,1493,988,3,0,3,2,1,5,80,46,6,0,0,0,13,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-84.0245893061139,0.717330914637865,1990,885,9,0,4,5,3,4,60,32,7,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-81.14352827952074,0.5049224115483268,1755,1432,3,0,1,2,4,0,35,47,3,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-47.07612380747115,0.7585545620330857,1936,1496,10,0,5,5,1,1,52,42,5,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-68.04392919821578,0.3180895337602268,948,637,8,0,1,3,2,5,33,34,7,0,0,0,14,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-47.02436473665945,0.2930413865469822,1538,1129,9,0,1,4,1,1,71,48,8,0,0,0,20,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-54.93384625627616,0.9778868021582561,1343,800,5,0,2,4,1,3,56,21,8,0,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-76.69987920675418,0.7744287856150948,1254,1212,5,0,2,3,2,1,42,33,2,0,0,0,12,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-67.4628798518436,0.10241282801326587,1178,1297,10,0,5,5,5,3,65,58,5,0,0,0,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-77.261053401629,0.21533076366771214,897,686,9,0,4,2,2,5,58,26,4,0,0,0,19,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-55.94330584815387,0.26497770548802596,1354,1370,3,0,5,3,4,4,84,40,5,0,0,0,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-81.66371654295473,0.708036617187747,1719,1422,3,0,3,4,5,2,100,34,2,0,0,0,20,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-78.16289947158234,0.22028071678249778,1321,1318,3,0,5,5,4,0,88,25,7,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
