rssiMean,rssiVar,pktCount,beaconCount,probeCount,deauthCount,authCount,assocReqCount,assocRespCount,nullCount,uniqueDevices,uniqueAPs,uniqueClients,spoofEvents,bssidMismatchEvents,ssidImpersonationEvents,vendorIEAnomalyEvents,wpaIEAnomalyEvents,rsnAnomalyEvents,htCapabilitiesAnomalyEvents,wmmAnomalyEvents,beaconFloodEvents,probeFloodEvents,deauthFloodEvents,nullFloodEvents,authFloodEvents,assocFloodEvents,vendorSpecificSpamEvents,channelHopEvents,intervalAnomalyEvents,burstEvents,highRateEvents,veryHighRateEvents,longPresenceEvents,closeRangeEvents,veryCloseRangeEvents,label
-55.98337422790683,0.3319809558296509,52,12,10,0,99,76,37,3,3,2,6,0,0,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-52.590493597812305,0.6899626464431939,42,11,6,0,52,49,64,0,4,3,17,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-58.820285486278934,0.6511473095933518,50,16,7,0,92,41,21,3,4,9,14,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-55.266802373010776,0.814399729602995,37,11,3,0,48,50,29,0,5,7,11,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-45.325704412307594,0.9937786889767756,73,16,4,0,94,55,75,1,3,5,13,0,0,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-51.44659096792196,0.6611536735704487,80,15,8,0,62,100,34,2,11,10,13,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-57.15438948295936,0.3035428544069373,66,13,8,0,100,50,84,4,10,6,6,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-83.20010519536253,0.774283972064378,48,16,4,0,59,20,37,3,5,2,15,0,0,5,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-70.47128175529848,0.7057305585484022,32,17,9,0,63,62,85,4,5,4,13,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-77.67989545998869,0.22901703908647955,42,15,5,0,44,57,84,4,7,4,15,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-56.58872358805874,0.19194644575015343,73,13,8,0,50,27,20,0,3,9,18,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-54.43027785146576,0.9738012359510575,80,14,3,0,66,20,70,3,5,6,16,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-80.33070569396274,0.12882347139656486,79,17,8,0,27,74,24,2,6,5,12,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-75.9483167244027,0.5061351121445756,60,10,9,0,81,91,36,1,7,4,8,0,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-70.24536667042582,0.8056796038655397,75,8,7,0,82,92,47,5,12,3,20,0,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-66.01599694743882,0.5081680102555814,39,18,2,0,84,21,30,2,6,6,13,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-76.08135936866839,0.4763172032047098,63,15,10,0,20,58,40,4,7,9,16,0,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-67.90991758293185,0.6631871975587466,78,8,4,0,88,64,33,4,3,5,14,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-64.98620698162682,0.5836735401371896,42,8,7,0,89,49,23,3,6,4,8,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-69.43859064587221,0.9419957051423188,21,14,3,0,23,50,46,0,10,5,14,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-83.21490733746269,0.7567536544954376,32,16,8,0,84,73,39,1,7,5,15,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-49.1489104595889,0.8795540922412706,39,10,3,0,29,26,94,3,4,10,5,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-52.88411846836484,0.8694340845281603,22,20,6,0,48,50,51,4,3,2,13,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-58.27648697430749,0.6775425685369716,45,10,5,0,70,94,56,2,12,3,12,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-66.91016033139525,0.18824412784414704,70,6,8,0,90,56,51,3,11,7,19,0,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-48.21056318620529,0.5891580636556352,65,8,2,0,74,87,63,3,4,9,12,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-78.0036302459175,0.5182398812383616,21,8,6,0,74,97,54,2,5,2,6,0,0,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-57.00416412885998,0.3385889398754387,68,8,9,0,56,77,21,0,3,8,6,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-67.44909593138158,0.3157022972236282,60,18,5,0,69,80,70,0,8,9,17,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-82.04934264075729,0.47430178601674833,42,9,8,0,61,93,41,5,10,10,11,0,0,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-80.07524897369169,0.3895110740992277,54,7,9,0,72,26,51,3,3,7,9,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-74.13269703338199,0.9730593008665805,60,6,4,0,78,33,31,4,6,5,7,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-76.44707120276065,0.7717365342125138,80,8,4,0,69,49,84,1,11,7,5,0,0,3,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-71.48299289629028,0.20019084147168723,37,17,2,0,81,88,100,1,5,7,20,0,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-46.332508607637386,0.37564999639817465,29,14,8,0,43,71,45,5,10,2,12,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-66.7832179357593,0.2885064571274834,61,16,2,0,28,32,65,1,5,4,18,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-46.04060992825143,0.7920692413150666,37,6,9,0,49,88,77,2,8,4,16,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-78.2887809608055,0.20100864208221525,79,18,6,0,29,83,33,1,11,5,14,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-71.59765768744761,0.8127678417956514,30,14,5,0,24,52,54,3,11,8,15,0,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-46.56223206411031,0.3507636861091603,73,7,9,0,28,41,61,4,8,4,13,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-50.626631016472814,0.6286476261925699,25,15,4,0,98,24,87,3,11,5,19,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-50.302253173204534,0.35851101103569927,59,5,7,0,31,74,70,2,7,10,19,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-65.13561976306028,0.8460796187939448,71,11,5,0,84,23,27,0,3,2,10,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-53.573691166441535,0.8925179830261036,73,7,8,0,32,30,46,0,5,10,15,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-52.35120607249095,0.2820663548584822,31,14,6,0,60,24,53,0,7,2,12,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-55.98320859552875,0.40419821983142024,51,10,9,0,27,78,72,1,6,9,15,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-47.297585899575495,0.26408523940090334,40,12,6,0,51,67,40,0,10,5,14,0,0,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-66.53435825271247,0.23789989338112902,75,20,9,0,66,38,35,2,12,7,13,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-79.84939317970556,0.9933259807387976,52,9,8,0,36,97,20,3,11,5,5,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-67.81321421093246,0.7978423249928133,49,13,5,0,56,26,42,4,12,3,16,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-79.6077960069937,0.8794097952207702,34,18,10,0,65,74,78,1,7,3,10,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-77.44729338733751,0.38196232360875715,68,15,8,0,93,64,58,4,6,8,10,0,0,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-46.55981365901589,0.9329904840196624,39,15,9,0,62,51,60,5,10,7,16,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-81.05016603725352,0.41719441074873165,71,20,8,0,72,60,56,0,5,2,16,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-71.07710818607974,0.6736898260751045,58,14,4,0,74,85,64,2,8,4,7,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-81.70330452043143,0.3380607388732316,46,6,7,0,55,76,47,5,6,4,19,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-56.145530053055865,0.764063075394091,57,14,10,0,35,61,25,1,11,6,5,0,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-60.15473663981756,0.8133488803775463,35,12,10,0,87,43,66,4,9,4,15,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-47.749427822184714,0.41536004933156245,41,19,8,0,24,32,80,4,6,9,13,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-51.319820177298496,0.35314434269443606,25,10,8,0,46,68,68,0,7,4,12,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-79.79318362543795,0.19532251931895772,72,17,9,0,37,55,65,3,11,9,12,0,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-75.7738908477423,0.16262277358635208,46,16,3,0,36,88,71,0,6,6,10,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-79.64399357537138,0.34215146129736446,41,14,8,0,86,91,41,1,4,10,6,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-77.44785061317,0.3987544666499885,61,18,5,0,61,64,61,0,12,7,12,0,0,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-76.73737303658729,0.34271065160034064,21,16,4,0,43,92,97,3,5,9,20,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-46.847126354924946,0.6015075279334389,46,19,10,0,68,69,28,4,9,6,7,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-71.55388079462632,0.7100545768412656,25,13,6,0,36,45,26,2,12,6,19,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-45.15166816436822,0.30776273759184336,63,5,4,0,53,64,42,3,4,10,20,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
