rssiMean,rssiVar,pktCount,beaconCount,probeCount,deauthCount,authCount,assocReqCount,assocRespCount,nullCount,uniqueDevices,uniqueAPs,uniqueClients,spoofEvents,bssidMismatchEvents,ssidImpersonationEvents,vendorIEAnomalyEvents,wpaIEAnomalyEvents,rsnAnomalyEvents,htCapabilitiesAnomalyEvents,wmmAnomalyEvents,beaconFloodEvents,probeFloodEvents,deauthFloodEvents,nullFloodEvents,authFloodEvents,assocFloodEvents,vendorSpecificSpamEvents,channelHopEvents,intervalAnomalyEvents,burstEvents,highRateEvents,veryHighRateEvents,longPresenceEvents,closeRangeEvents,veryCloseRangeEvents,label
-81.06462514088827,0.6131982542012209,41,17,6,174,5,1,5,1,5,2,7,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,3
-69.05466304580472,0.1735762269114926,28,10,3,192,1,3,4,2,18,4,4,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,3
-73.18228725621955,0.673223446814223,46,15,8,277,5,3,5,2,6,3,6,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,3
-83.91611575644089,0.8017149286390265,51,14,2,240,1,4,4,4,20,1,3,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,0,0,0,3
-81.72830537887482,0.5976716193172752,20,16,5,226,1,4,1,3,20,3,8,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,3
-52.216502829258516,0.3769701597563594,66,18,7,62,2,4,2,2,14,1,6,0,0,0,0,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,3
-56.913128176829325,0.6688127316788439,25,14,7,272,3,5,1,1,8,2,8,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,3
-52.41896975774212,0.640098272930624,41,18,10,132,1,5,4,4,12,2,4,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,3
-73.57607652205064,0.9588181693693788,36,15,9,166,4,5,4,5,11,3,4,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,3
-61.80841336657193,0.4206621296669194,67,6,3,174,5,1,3,0,8,1,5,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,3
