rssiMean,rssiVar,pktCount,beaconCount,probeCount,deauthCount,authCount,assocReqCount,assocRespCount,nullCount,uniqueDevices,uniqueAPs,uniqueClients,spoofEvents,bssidMismatchEvents,ssidImpersonationEvents,vendorIEAnomalyEvents,wpaIEAnomalyEvents,rsnAnomalyEvents,htCapabilitiesAnomalyEvents,wmmAnomalyEvents,beaconFloodEvents,probeFloodEvents,deauthFloodEvents,nullFloodEvents,authFloodEvents,assocFloodEvents,vendorSpecificSpamEvents,channelHopEvents,intervalAnomalyEvents,burstEvents,highRateEvents,veryHighRateEvents,longPresenceEvents,closeRangeEvents,veryCloseRangeEvents,label
-47.66073640208912,0.36207678847471336,56,20,8,0,3,1,3,3,10,2,9,0,9,3,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-54.434899534270684,0.3881148982988736,26,16,8,0,2,1,2,4,7,1,1,0,7,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-65.03044541132451,0.6009289378858237,70,12,3,0,5,4,5,3,10,4,1,0,8,8,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-70.32514760426297,0.7423395048131427,74,15,7,0,2,5,1,0,8,4,10,0,5,9,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-72.76148493499316,0.9829908055752551,34,7,4,0,3,4,5,1,6,4,9,0,7,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-56.19307000718449,0.1535740538053983,56,16,6,0,1,1,3,0,12,2,3,0,7,10,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-59.521348605859544,0.2988933198135222,39,13,4,0,3,2,2,3,9,4,3,0,4,3,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-46.545753878021884,0.3261518675143331,71,15,4,0,4,1,3,2,12,5,1,0,4,10,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-73.19443032979709,0.23714380321367134,65,11,5,0,3,5,5,5,12,5,10,0,6,10,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-47.58204891184204,0.6782634893080205,28,10,10,0,4,1,3,1,3,3,1,0,10,9,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-48.0636351057261,0.7513910674198647,41,5,5,0,3,1,4,4,5,2,3,0,5,3,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-46.36222043582126,0.8791573366970555,71,5,5,0,3,2,4,4,8,3,4,0,10,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-70.93476821916508,0.41294346537268944,70,8,8,0,2,5,5,2,10,1,1,0,7,6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-56.929595307972576,0.2565280794030653,58,18,4,0,1,4,2,3,11,4,7,0,4,9,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-63.77021299702871,0.781332257505677,25,8,10,0,3,1,4,0,4,4,3,0,7,6,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-47.32772607584087,0.17026162970172581,54,10,8,0,1,2,2,1,8,5,2,0,4,4,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-54.00774405304543,0.854222643652931,51,7,5,0,5,1,4,3,7,4,5,0,5,6,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-64.51980898935886,0.46581468935386683,43,9,6,0,3,5,5,0,11,4,1,0,5,5,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-70.71127135420845,0.5773083592434614,26,5,5,0,4,2,4,5,5,2,3,0,9,5,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-62.57331113854979,0.8393754392257081,45,15,3,0,4,1,5,5,11,4,4,0,3,8,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-81.0247897586573,0.7674248365471785,54,12,5,0,4,1,1,1,10,2,1,0,9,6,6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
-72.43560739989688,0.29387614696807907,47,12,2,0,2,4,1,3,6,3,6,0,8,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
