rssiMean,rssiVar,pktCount,beaconCount,probeCount,deauthCount,authCount,assocReqCount,assocRespCount,nullCount,uniqueDevices,uniqueAPs,uniqueClients,spoofEvents,bssidMismatchEvents,ssidImpersonationEvents,vendorIEAnomalyEvents,wpaIEAnomalyEvents,rsnAnomalyEvents,htCapabilitiesAnomalyEvents,wmmAnomalyEvents,beaconFloodEvents,probeFloodEvents,deauthFloodEvents,nullFloodEvents,authFloodEvents,assocFloodEvents,vendorSpecificSpamEvents,channelHopEvents,intervalAnomalyEvents,burstEvents,highRateEvents,veryHighRateEvents,longPresenceEvents,closeRangeEvents,veryCloseRangeEvents,label
-82.10058607013703,0.7036814780085832,75,18,8,0,4,5,1,3,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-51.70479431503175,0.33639111064256133,70,19,9,0,2,2,4,1,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-57.30155148315168,0.9919863565226552,69,11,7,0,2,4,4,2,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-61.5170186448294,0.4682192868123809,77,13,9,0,5,5,4,4,12,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50.420153233776716,0.41927420102657287,79,18,7,0,1,1,3,3,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-74.03683606408862,0.7667772727699016,50,15,7,0,1,2,4,2,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80.56312479167606,0.4205394168472205,73,17,6,0,2,1,5,1,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-76.6404047609204,0.4375549343312274,76,15,9,0,3,5,4,2,7,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-51.63427740083888,0.5088693475771995,38,14,3,0,3,2,2,4,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47.978278063457516,0.7630194753280307,21,7,4,0,5,1,4,4,7,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-61.89762303374787,0.27798004685860783,64,17,9,0,1,4,4,5,3,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-74.61596986532548,0.11872650520141659,32,13,4,0,3,2,5,2,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-63.97553325300301,0.6790071353434821,22,6,10,0,3,1,4,1,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-74.72481774778433,0.9096959550278554,72,12,6,0,4,4,3,1,12,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-74.89460303646452,0.29755664910836005,71,7,4,0,2,4,5,3,7,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-49.25435066750681,0.6886649079855869,21,11,10,0,2,3,2,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-83.31931315590101,0.794510855473699,66,17,10,0,5,4,2,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-66.6120723212402,0.1706699909118714,76,11,6,0,4,5,1,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-53.58907539159674,0.344944246953774,64,14,6,0,5,5,5,1,10,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-56.97028052371719,0.3712022249505734,30,20,2,0,3,4,1,3,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80.1454995363749,0.9053339658494627,30,11,2,0,2,1,3,0,11,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-64.39533199413826,0.6936344095002357,79,12,5,0,3,1,2,5,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
